
                                             CodeAnalysis
    ==============================================================================================
     Wed Feb  8 08:16:00 2017
     Path: "\\VBOXSVR\Downloads\OOD\project1_final\NoSQLDatabase"
     Args: *.h, *.cpp, *.cs, /m, /r, /f
                                                                               
           Code Metrics - Start Line, Size (lines/code), and Complexity (number of scopes)
    ==============================================================================================

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
                             namespace                   Global Namespace       1       1     572

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
                 Convert.h       class                            Convert      18       7       5
                 Convert.h    function                                  >      19       2       1
                 Convert.h    function                           toString      31       5       1
                 Convert.h    function                         fromString      43       6       1
                 Convert.h    function                                 id      53       3       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
               Convert.cpp       class                             Widget      17       7       3
               Convert.cpp    function                             Widget      18       2       1
               Convert.cpp    function                              value      19       2       1
               Convert.cpp    function                        operator<<(      26       4       1
               Convert.cpp    function                        operator>>(      32       9       2
               Convert.cpp    function                               main      46      22       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
           CppProperties.h       class                           Property      26      35      12
           CppProperties.h    function                           Property      29       2       1
           CppProperties.h    function                           Property      30       1       1
           CppProperties.h    function                           Property      31       2       1
           CppProperties.h    function                          ~Property      32       2       1
           CppProperties.h    function                         operator=(      37       6       1
           CppProperties.h    function                     operatorconstT      44       2       1
           CppProperties.h    function                             setter      48       2       1
           CppProperties.h    function                             getter      49       2       1
           CppProperties.h    function                           getValue      50       1       1
           CppProperties.h      lambda                       [](constT&t)      57       1       1
           CppProperties.h      lambda                              [=]()      58       1       1
           CppProperties.h       class                           Property      71      13       9
           CppProperties.h    function                           Property      72       2       1
           CppProperties.h    function                           Property      73       2       1
           CppProperties.h    function                           Property      74       2       1
           CppProperties.h    function                          ~Property      75       2       1
           CppProperties.h    function                             getter      76       2       1
           CppProperties.h    function                     operatorconstT      77       1       1
           CppProperties.h    function                           getValue      78       1       1
           CppProperties.h      lambda                              [=]()      81       1       1
           CppProperties.h       class                           Property      22      33      11
           CppProperties.h    function                           Property      25       2       1
           CppProperties.h    function                           Property      26       2       1
           CppProperties.h    function                          ~Property      27       2       1
           CppProperties.h    function                         operator=(      32       5       1
           CppProperties.h    function                     operatorconstT      38       2       1
           CppProperties.h    function                             setter      42       2       1
           CppProperties.h    function                             getter      43       2       1
           CppProperties.h    function                           getValue      44       1       1
           CppProperties.h      lambda                       [](constT&t)      51       1       1
           CppProperties.h      lambda                              [=]()      52       1       1
           CppProperties.h    function                        operator<<(      59      11       3
           CppProperties.h       class                           Property      80      12       8
           CppProperties.h    function                           Property      81       2       1
           CppProperties.h    function                           Property      82       2       1
           CppProperties.h    function                          ~Property      83       2       1
           CppProperties.h    function                             getter      84       2       1
           CppProperties.h    function                     operatorconstT      85       1       1
           CppProperties.h    function                           getValue      86       1       1
           CppProperties.h      lambda                              [=]()      89       1       1
           CppProperties.h    function                        operator<<(      96      11       3

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
         CppProperties.cpp    function                        operator<<(      16      11       3
         CppProperties.cpp    function                        operator<<(      30      11       3
         CppProperties.cpp       class                                  X      44       7       1
         CppProperties.cpp    function                            toUpper      64       6       1
         CppProperties.cpp       class                                  Z      72      22       4
         CppProperties.cpp    function                                  Z      75      17       3
         CppProperties.cpp      lambda             [](conststd::string&s)      77       1       1
         CppProperties.cpp      lambda                              [=]()      84       6       1
         CppProperties.cpp       class                  UpperCaseProperty     101      12       3
         CppProperties.cpp    function                  UpperCaseProperty     103       4       1
         CppProperties.cpp    function                         operator=(     108       4       1
         CppProperties.cpp       class                                  Y     115       4       1
         CppProperties.cpp    function                               main     122      35       1
         CppProperties.cpp       class                                  X      14       7       1
         CppProperties.cpp    function                            toUpper      33       6       1
         CppProperties.cpp       class                                  Z      41      22       4
         CppProperties.cpp    function                                  Z      44      17       3
         CppProperties.cpp      lambda             [](conststd::string&s)      46       1       1
         CppProperties.cpp      lambda                              [=]()      53       6       1
         CppProperties.cpp       class                  UpperCaseProperty      70      12       3
         CppProperties.cpp    function                  UpperCaseProperty      72       4       1
         CppProperties.cpp    function                         operator=(      77       4       1
         CppProperties.cpp       class                                  Y      84       4       1
         CppProperties.cpp    function                               main      90      30       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
                 NoSqlDb.h       class                            Element      31      13       3
                 NoSqlDb.h    function                               show      47      12       1
                 NoSqlDb.h    function                               save      96       6       1
                 NoSqlDb.h       class                            NoSqlDb      68      14       5
                 NoSqlDb.h    function                               keys      85       8       2
                 NoSqlDb.h    function                              value     105       5       1
                 NoSqlDb.h    function                              count     113       3       1
                 NoSqlDb.h      struct                       Widgetstruct      75       4       1
              public data: Property < std :: string > courseId ; 
              public data: Property < std :: string > courseName ; 
                 NoSqlDb.h       class                            Element      87      18       9
                 NoSqlDb.h    function                     showWidgetData     110      19       2
                 NoSqlDb.h    function                               show     132      18       2
                 NoSqlDb.h    function                               save     546      27       2
                 NoSqlDb.h    function                          deleteKey     609      11       2
                 NoSqlDb.h       class                            NoSqlDb     160      34      79
                 NoSqlDb.h    function                    FindUnionOfKeys     235      13       3
                 NoSqlDb.h    function    MatchKeysFromStartToCurrentTime     251      27       6
                 NoSqlDb.h    function        MatchKeysWithInTimeInterval     281      26       6
                 NoSqlDb.h    function                               keys     310       8       2
                 NoSqlDb.h    function               convertEpochToString     321      15       1
                 NoSqlDb.h    function              MatchKeysWithSameData     339      26       6
                 NoSqlDb.h    function          MatchKeysWithSameCategory     368      28       6
                 NoSqlDb.h    function          MatchKeysWithSameCategory     398      28       6
                 NoSqlDb.h    function           getEpochFromStringVector     429      11       2
                 NoSqlDb.h      struct                                 tm     429       2       1
                 NoSqlDb.h    function             getEpochTimefromString     443      28       4
                 NoSqlDb.h    function                          MatchKeys     474      27       7
                 NoSqlDb.h    function                          MatchKeys     504      24       7
                 NoSqlDb.h    function               getChildrenofElement     531      12       3
                 NoSqlDb.h    function                              value     576       5       1
                 NoSqlDb.h    function                              count     584       3       1
                 NoSqlDb.h    function              deleteChildFromParent     590      16       4
                 NoSqlDb.h    function                        addChildren     623      19       3
                 NoSqlDb.h    function                EditElementInstance     645      41      10
                 NoSqlDb.h       class                     ElementWrapper     199      14      14
                 NoSqlDb.h    function                     ElementWrapper     200       2       1
                 NoSqlDb.h    function                     ElementWrapper     201       2       1
                 NoSqlDb.h    function                   operatorElement<     207       3       1
                 NoSqlDb.h       class                          DBWrapper     217      15      12
                 NoSqlDb.h    function                          DBWrapper     219       2       1
                 NoSqlDb.h    function                          DBWrapper     220       2       1
                 NoSqlDb.h    function                   operatorNoSqlDb<     226       3       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
